id,original_id,category,dataset,image_path,original_path,description,width,height,original_width,original_height,aspect_ratio,file_size_kb,room_count,room_types,has_balcony,has_garage,floors,architectural_style,area_estimate,split
high_quality_00000,3954,high_quality,cubicasa5k,data/processed/images/high_quality_00000_3954.png,../data/cubicasa5k/high_quality/3954/F1_original.png,Modern compact 2-room apartment with balcony and garage,512,512,329,530,0.620754716981132,131,2,,True,True,1,modern,268,train
high_quality_00002,8322,high_quality,cubicasa5k,data/processed/images/high_quality_00002_8322.png,../data/cubicasa5k/high_quality/8322/F1_original.png,Modern compact 2-room apartment with garage,512,512,552,534,1.0337078651685394,96,2,,False,True,1,modern,262,train
high_quality_00007,13426,high_quality,cubicasa5k,data/processed/images/high_quality_00007_13426.png,../data/cubicasa5k/high_quality/13426/F1_original.png,Modern compact 2-room apartment with garage,512,512,276,680,0.4058823529411764,72,2,,False,True,1,modern,294,train
high_quality_00008,6079,high_quality,cubicasa5k,data/processed/images/high_quality_00008_6079.png,../data/cubicasa5k/high_quality/6079/F1_original.png,Traditional 4-room apartment with balcony,512,512,683,558,1.224014336917563,92,4,,True,False,1,traditional,672,train
high_quality_00009,12197,high_quality,cubicasa5k,data/processed/images/high_quality_00009_12197.png,../data/cubicasa5k/high_quality/12197/F1_original.png,Traditional compact 2-room apartment,512,512,944,744,1.2688172043010753,374,2,,False,False,1,traditional,306,train
high_quality_00010,12163,high_quality,cubicasa5k,data/processed/images/high_quality_00010_12163.png,../data/cubicasa5k/high_quality/12163/F1_original.png,Traditional compact 2-room apartment with garage,512,512,509,557,0.9138240574506284,137,2,,False,True,1,traditional,270,train
high_quality_00014,50,high_quality,cubicasa5k,data/processed/images/high_quality_00014_50.png,../data/cubicasa5k/high_quality/50/F1_original.png,Contemporary spacious 6-room house,512,512,610,676,0.9023668639053254,337,6,,False,False,1,contemporary,792,train
high_quality_00015,10602,high_quality,cubicasa5k,data/processed/images/high_quality_00015_10602.png,../data/cubicasa5k/high_quality/10602/F1_original.png,Contemporary compact 2-room apartment with garage,512,512,795,941,0.844845908607864,414,2,,False,True,1,contemporary,280,train
high_quality_00018,9000,high_quality,cubicasa5k,data/processed/images/high_quality_00018_9000.png,../data/cubicasa5k/high_quality/9000/F1_original.png,Modern compact 2-room apartment with balcony and garage,512,512,434,495,0.8767676767676768,70,2,,True,True,1,modern,382,train
high_quality_00019,103,high_quality,cubicasa5k,data/processed/images/high_quality_00019_103.png,../data/cubicasa5k/high_quality/103/F1_original.png,Contemporary compact 2-room apartment,512,512,616,196,3.142857142857143,57,2,,False,False,1,contemporary,298,train
high_quality_00022,3161,high_quality,cubicasa5k,data/processed/images/high_quality_00022_3161.png,../data/cubicasa5k/high_quality/3161/F1_original.png,Traditional 4-room apartment with balcony and garage,512,512,4000,3000,1.3333333333333333,625,4,,True,True,1,traditional,712,train
high_quality_00024,6211,high_quality,cubicasa5k,data/processed/images/high_quality_00024_6211.png,../data/cubicasa5k/high_quality/6211/F1_original.png,Modern compact 2-room apartment with garage,512,512,996,553,1.8010849909584086,277,2,,False,True,1,modern,388,train
high_quality_00025,1034,high_quality,cubicasa5k,data/processed/images/high_quality_00025_1034.png,../data/cubicasa5k/high_quality/1034/F1_original.png,Modern 4-room apartment,512,512,1263,648,1.9490740740740744,420,4,,False,False,1,modern,740,train
high_quality_00026,9857,high_quality,cubicasa5k,data/processed/images/high_quality_00026_9857.png,../data/cubicasa5k/high_quality/9857/F1_original.png,Contemporary compact 2-room apartment,512,512,937,715,1.3104895104895105,196,2,,False,False,1,contemporary,278,train
high_quality_00028,20202,high_quality,cubicasa5k,data/processed/images/high_quality_00028_20202.png,../data/cubicasa5k/high_quality/20202/F1_original.png,Modern compact 2-room apartment with balcony,512,512,608,885,0.6870056497175141,329,2,,True,False,1,modern,374,train
high_quality_00030,8724,high_quality,cubicasa5k,data/processed/images/high_quality_00030_8724.png,../data/cubicasa5k/high_quality/8724/F1_original.png,Contemporary compact 2-room apartment with balcony,512,512,334,834,0.4004796163069544,68,2,,True,False,1,contemporary,326,train
